Hotel Name,Original price,Price after discount,Tax,Rating,location
The Anvaya Beach Resort Bali,Rp 5.022.000,Rp 4.017.600,Inclusive of taxes,8.9,"Kuta, Bali"
The Apurva Kempinski Bali,Rp 14.520.640,Rp 10.890.480,Inclusive of taxes,8.9,"Nusa Dua Beach, Bali"
"The Westin Resort Nusa Dua, Bali",Rp 4.001.067,Rp 3.000.800,Inclusive of taxes,8.8,"The Westin Resort Nusa Dua, Bali"
The Sakala Resort Bali - All Suites,Rp 2.400.000,Rp 1.392.000,Inclusive of taxes,8.5,"Tanjung Benoa, Bali"
Discovery Kartika Plaza Bali,Rp 1.733.333,Rp 1.300.000,Inclusive of taxes,8.6,"Kuta, Bali"
Urban Styles Inata Bisma Ubud,Rp 810.000,Rp 405.000,Inclusive of taxes,8.5,"Monkey Forest, Bali"
Hilton Bali Resort,Rp 3.872.000,Rp 2.904.000,Inclusive of taxes,8.7,"Nusa Dua Beach, Bali"
The ONE Legian,Rp 1.440.000,Rp 1.137.600,Inclusive of taxes,8.5,"Legian, Bali"
Prama Sanur Beach Bali,Rp 2.268.000,Rp 771.120,Inclusive of taxes,8.5,"Sanur, Bali"
Ramada Encore by Wyndham Bali Seminyak,Rp 1.642.500,Rp 903.375,Inclusive of taxes,8.6,"Seminyak, Bali"
ASTON Kuta Hotel & Residence,Rp 1.989.000,Rp 1.690.650,Inclusive of taxes,8.6,"Kuta, Bali"
Merusaka Nusa Dua,Rp 3.199.500,Rp 2.079.675,Inclusive of taxes,8.9,"Nusa Dua Beach, Bali"
Kanishka Villas,Rp 1.435.745,Rp 1.162.954,Inclusive of taxes,8.2,"Seminyak, Bali"
Kanvaz Village Resort Seminyak,Rp 3.211.884,Rp 2.408.913,Inclusive of taxes,8.9,"Seminyak, Bali"
RIMBA by AYANA Bali,Rp 3.908.300,Rp 2.931.225,Inclusive of taxes,9.0,"Jimbaran, Bali"
Grand Inna Kuta,Rp 1.920.000,Rp 1.036.800,Inclusive of taxes,8.5,"Kuta, Bali"
"Nusa Dua Beach Hotel & Spa, Bali",Rp 3.825.858,Rp 2.104.222,Inclusive of taxes,8.7,"Nusa Dua Beach Hotel & Spa, Bali"
Mercure Bali Nusa Dua,Rp 1.012.044,Rp 759.033,Inclusive of taxes,8.2,"Nusa Dua, Bali"
Padma Resort Ubud,Rp 5.806.729,Rp 4.064.710,Inclusive of taxes,9.1,"Payangan, Bali"
Conrad Bali,Rp 4.154.334,Rp 3.115.751,Inclusive of taxes,8.7,"Tanjung Benoa, Bali"
Grand Hyatt Bali,Rp 3.325.031,Rp 2.493.773,Inclusive of taxes,8.5,"Nusa Dua Beach, Bali"
Horison Seminyak,Rp 2.000.000,Rp 1.000.000,Inclusive of taxes,8.4,"Seminyak, Bali"
Aryaduta Bali,Rp 1.380.000,Rp 1.035.000,Inclusive of taxes,8.7,"Kuta, Bali"
Swiss Belhotel Tuban,Rp 990.667,Rp 743.000,Inclusive of taxes,8.6,"Kuta, Bali"
Hotel Dafam Savvoya Seminyak,Rp 1.099.156,Rp 754.540,Inclusive of taxes,8.4,"Seminyak, Bali"
The Lerina Hotel Nusa Dua,Rp 945.000,Rp 472.500,Inclusive of taxes,8.5,"Nusa Dua, Bali"
Four Star by Trans Hotel,Rp 760.000,Rp 524.400,Inclusive of taxes,8.4,"South Denpasar, Bali"
Bali Dynasty Resort,Rp 2.097.144,Rp 1.321.201,Inclusive of taxes,8.6,"Kuta, Bali"
Wyndham Garden Kuta Beach Bali,Rp 1.032.000,Rp 774.000,Inclusive of taxes,8.1,"Kuta, Bali"
Hotel Santika Siligita Nusa Dua,Rp 1.166.667,Rp 875.000,Inclusive of taxes,8.5,"Nusa Dua, Bali"
Sheraton Bali Kuta Resort,Rp 3.468.667,Rp 2.601.500,Inclusive of taxes,8.8,"Kuta, Bali"
Tribe Bali Kuta Beach,Rp 1.637.857,Rp 1.228.393,Inclusive of taxes,9.1,"Kuta, Bali"
Kaisa Villas Seminyak,Rp 2.450.000,Rp 1.715.000,Inclusive of taxes,8.8,"Seminyak, Bali"
Novotel Bali Nusa Dua - Hotel & Residences,Rp 1.902.120,Rp 1.426.590,Inclusive of taxes,8.5,"Nusa Dua Beach, Bali"
Danoya Villa Seminyak,Rp 3.663.000,Rp 2.380.950,Inclusive of taxes,8.7,"Seminyak, Bali"
Grand Palace Hotel Sanur - Bali,Rp 1.035.000,Rp 621.000,Inclusive of taxes,8.7,"Sanur, Bali"
HARRIS Hotel and Conventions Denpasar Bali,Rp 568.000,Rp 397.600,Inclusive of taxes,8.5,"North Denpasar, Bali"
THE 1O1 Bali Oasis Sanur,Rp 1.492.000,Rp 1.119.000,Inclusive of taxes,8.5,"Sanur, Bali"
HARRIS Hotel Kuta Tuban Bali,Rp 973.333,Rp 730.000,Inclusive of taxes,8.4,"Tuban, Bali"
Mövenpick Resort and Spa Bali,Rp 3.285.734,Rp 2.464.300,Inclusive of taxes,8.8,"Jimbaran, Bali"
Kuta Paradiso Hotel,Rp 2.240.000,Rp 907.200,Inclusive of taxes,8.4,"Kuta, Bali"
Diamond Hotel Kuta Bali,Rp 783.000,Rp 626.400,Inclusive of taxes,8.2,"Kuta, Bali"
Hotel Santika Seminyak,Rp 985.000,Rp 492.500,Inclusive of taxes,8.7,"Seminyak, Bali"
Hyatt Regency Bali,Rp 3.201.881,Rp 2.401.411,Inclusive of taxes,8.7,"Sanur, Bali"
Villa Kayu Raja,Rp 4.130.995,Rp 1.528.468,Inclusive of taxes,8.6,"Seminyak, Bali"
Pullman Bali Legian Beach,Rp 2.420.000,Rp 1.815.000,Inclusive of taxes,8.3,"Legian, Bali"
Bintang Bali Resort,Rp 2.124.000,Rp 1.146.960,Inclusive of taxes,8.6,"Kuta, Bali"
Amaris Hotel Pratama Nusa Dua,Rp 500.000,Rp 375.000,Inclusive of taxes,8.0,"Nusa Dua, Bali"
